redis    | 2025-10-29 18:43:28.137 | 1:C 29 Oct 2025 12:58:28.132 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
rabbitmq | 2025-10-29 18:43:30.724 | 2025-10-29 12:58:30.723777+00:00 [info] <0.254.0> ra: starting system coordination
rabbitmq | 2025-10-29 18:43:30.724 | 2025-10-29 12:58:30.723824+00:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@3d0ed7a33ce6/coordination/rabbit@3d0ed7a33ce6
rabbitmq | 2025-10-29 18:43:30.820 | 2025-10-29 12:58:30.820495+00:00 [info] <0.254.0> Waiting for Khepri leader for 30000 ms, 9 retries left
rabbitmq | 2025-10-29 18:43:30.825 | 2025-10-29 12:58:30.825671+00:00 [notice] <0.292.0> RabbitMQ metadata store: candidate -> leader in term: 1 machine version: 1
rabbitmq | 2025-10-29 18:43:30.834 | 2025-10-29 12:58:30.834432+00:00 [info] <0.254.0> Khepri leader elected
rabbitmq | 2025-10-29 18:43:30.834 | 2025-10-29 12:58:30.834494+00:00 [info] <0.254.0> Waiting for Khepri projections for 30000 ms, 9 retries left
rabbitmq | 2025-10-29 18:43:31.052 | 2025-10-29 12:58:31.052596+00:00 [info] <0.254.0> 
rabbitmq | 2025-10-29 18:43:31.052 | 2025-10-29 12:58:31.052596+00:00 [info] <0.254.0>  Starting RabbitMQ 3.13.7 on Erlang 26.2.5.15 [jit]
rabbitmq | 2025-10-29 18:43:31.052 | 2025-10-29 12:58:31.052596+00:00 [info] <0.254.0>  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries
rabbitmq | 2025-10-29 18:43:31.052 | 2025-10-29 12:58:31.052596+00:00 [info] <0.254.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   ##  ##      RabbitMQ 3.13.7
rabbitmq | 2025-10-29 18:43:31.053 |   ##  ##
rabbitmq | 2025-10-29 18:43:31.053 |   ##########  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries
rabbitmq | 2025-10-29 18:43:31.053 |   ######  ##
rabbitmq | 2025-10-29 18:43:31.053 |   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   Erlang:      26.2.5.15 [jit]
rabbitmq | 2025-10-29 18:43:31.053 |   TLS Library: OpenSSL - OpenSSL 3.1.8 11 Feb 2025
rabbitmq | 2025-10-29 18:43:31.053 |   Release series support status: see https://www.rabbitmq.com/release-information
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq | 2025-10-29 18:43:31.053 |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq | 2025-10-29 18:43:31.053 |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq | 2025-10-29 18:43:31.053 |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq | 2025-10-29 18:43:31.053 |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   Logs: <stdout>
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   Config file(s): /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq | 2025-10-29 18:43:31.053 | 
rabbitmq | 2025-10-29 18:43:31.053 |   Starting broker...2025-10-29 12:58:31.053223+00:00 [info] <0.254.0> 
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  node           : rabbit@3d0ed7a33ce6
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  home dir       : /var/lib/rabbitmq
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  config file(s) : /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  cookie hash    : RkTkqqFnNS66LVoKQJ67eQ==
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  log(s)         : <stdout>
rabbitmq | 2025-10-29 18:43:31.053 | 2025-10-29 12:58:31.053223+00:00 [info] <0.254.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@3d0ed7a33ce6
rabbitmq | 2025-10-29 18:43:31.384 | 2025-10-29 12:58:31.384469+00:00 [info] <0.254.0> Running boot step pre_boot defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.384 | 2025-10-29 12:58:31.384535+00:00 [info] <0.254.0> Running boot step rabbit_global_counters defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.384 | 2025-10-29 12:58:31.384708+00:00 [info] <0.254.0> Running boot step rabbit_osiris_metrics defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.384 | 2025-10-29 12:58:31.384791+00:00 [info] <0.254.0> Running boot step rabbit_core_metrics defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.385 | 2025-10-29 12:58:31.385218+00:00 [info] <0.254.0> Running boot step rabbit_alarm defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.391 | 2025-10-29 12:58:31.391265+00:00 [info] <0.329.0> Memory high watermark set to 734 MiB (770029977 bytes) of 1835 MiB (1925074944 bytes) total
rabbitmq | 2025-10-29 18:43:31.393 | 2025-10-29 12:58:31.392942+00:00 [info] <0.331.0> Enabling free disk space monitoring (disk free space: 225820450816, total memory: 1925074944)
rabbitmq | 2025-10-29 18:43:31.393 | 2025-10-29 12:58:31.393004+00:00 [info] <0.331.0> Disk free limit set to 50MB
rabbitmq | 2025-10-29 18:43:31.394 | 2025-10-29 12:58:31.394495+00:00 [info] <0.254.0> Running boot step code_server_cache defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.394 | 2025-10-29 12:58:31.394674+00:00 [info] <0.254.0> Running boot step file_handle_cache defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.400 | 2025-10-29 12:58:31.399966+00:00 [info] <0.334.0> Limiting to approx 1048479 file handles (943629 sockets)
rabbitmq | 2025-10-29 18:43:31.400 | 2025-10-29 12:58:31.400113+00:00 [info] <0.335.0> FHC read buffering: OFF
rabbitmq | 2025-10-29 18:43:31.400 | 2025-10-29 12:58:31.400161+00:00 [info] <0.335.0> FHC write buffering: ON
rabbitmq | 2025-10-29 18:43:31.400 | 2025-10-29 12:58:31.400768+00:00 [info] <0.254.0> Running boot step worker_pool defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.400 | 2025-10-29 12:58:31.400845+00:00 [info] <0.315.0> Will use 8 processes for default worker pool
rabbitmq | 2025-10-29 18:43:31.401 | 2025-10-29 12:58:31.400887+00:00 [info] <0.315.0> Starting worker pool 'worker_pool' with 8 processes in it
rabbitmq | 2025-10-29 18:43:31.401 | 2025-10-29 12:58:31.401279+00:00 [info] <0.254.0> Running boot step database defined by app rabbit
rabbitmq | 2025-10-29 18:43:31.401 | 2025-10-29 12:58:31.401533+00:00 [info] <0.254.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config
rabbitmq | 2025-10-29 18:43:31.402 | 2025-10-29 12:58:31.402215+00:00 [notice] <0.316.0> Feature flags: attempt to enable `detailed_queues_endpoint`...
rabbitmq | 2025-10-29 18:43:31.468 | 2025-10-29 12:58:31.467842+00:00 [notice] <0.316.0> Feature flags: `detailed_queues_endpoint` enabled
rabbitmq | 2025-10-29 18:43:31.468 | 2025-10-29 12:58:31.467944+00:00 [notice] <0.316.0> Feature flags: attempt to enable `quorum_queue_non_voters`...
rabbitmq | 2025-10-29 18:43:31.534 | 2025-10-29 12:58:31.534052+00:00 [notice] <0.316.0> Feature flags: `quorum_queue_non_voters` enabled
rabbitmq | 2025-10-29 18:43:31.534 | 2025-10-29 12:58:31.534262+00:00 [notice] <0.316.0> Feature flags: attempt to enable `stream_update_config_command`...
rabbitmq | 2025-10-29 18:43:31.596 | 2025-10-29 12:58:31.596614+00:00 [notice] <0.316.0> Feature flags: `stream_update_config_command` enabled
rabbitmq | 2025-10-29 18:43:31.597 | 2025-10-29 12:58:31.596797+00:00 [notice] <0.316.0> Feature flags: attempt to enable `stream_filtering`...
rabbitmq | 2025-10-29 18:43:31.660 | 2025-10-29 12:58:31.659416+00:00 [notice] <0.316.0> Feature flags: `stream_filtering` enabled
rabbitmq | 2025-10-29 18:43:31.660 | 2025-10-29 12:58:31.659779+00:00 [notice] <0.316.0> Feature flags: attempt to enable `stream_sac_coordinator_unblock_group`...
rabbitmq | 2025-10-29 18:43:31.724 | 2025-10-29 12:58:31.724731+00:00 [notice] <0.316.0> Feature flags: `stream_sac_coordinator_unblock_group` enabled
rabbitmq | 2025-10-29 18:43:31.725 | 2025-10-29 12:58:31.724907+00:00 [notice] <0.316.0> Feature flags: attempt to enable `restart_streams`...
rabbitmq | 2025-10-29 18:43:31.813 | 2025-10-29 12:58:31.813207+00:00 [notice] <0.316.0> Feature flags: `restart_streams` enabled
rabbitmq | 2025-10-29 18:43:31.813 | 2025-10-29 12:58:31.813356+00:00 [notice] <0.316.0> Feature flags: attempt to enable `message_containers`...
rabbitmq | 2025-10-29 18:43:31.875 | 2025-10-29 12:58:31.875122+00:00 [notice] <0.316.0> Feature flags: `message_containers` enabled
rabbitmq | 2025-10-29 18:43:31.875 | 2025-10-29 12:58:31.875228+00:00 [notice] <0.316.0> Feature flags: attempt to enable `message_containers_deaths_v2`...
rabbitmq | 2025-10-29 18:43:31.936 | 2025-10-29 12:58:31.935937+00:00 [notice] <0.316.0> Feature flags: `message_containers_deaths_v2` enabled
rabbitmq | 2025-10-29 18:43:31.936 | 2025-10-29 12:58:31.936111+00:00 [info] <0.254.0> DB: virgin node -> run peer discovery
rabbitmq | 2025-10-29 18:43:31.936 | 2025-10-29 12:58:31.936167+00:00 [warning] <0.254.0> Classic peer discovery backend: list of nodes does not contain the local node []
rabbitmq | 2025-10-29 18:43:31.950 | 2025-10-29 12:58:31.950035+00:00 [notice] <0.44.0> Application mnesia exited with reason: stopped
rabbitmq | 2025-10-29 18:43:32.037 | 2025-10-29 12:58:32.036903+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
rabbitmq | 2025-10-29 18:43:32.037 | 2025-10-29 12:58:32.036994+00:00 [info] <0.254.0> Successfully synced tables from a peer
rabbitmq | 2025-10-29 18:43:32.037 | 2025-10-29 12:58:32.037076+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
rabbitmq | 2025-10-29 18:43:32.037 | 2025-10-29 12:58:32.037116+00:00 [info] <0.254.0> Successfully synced tables from a peer
rabbitmq | 2025-10-29 18:43:32.040 | 2025-10-29 12:58:32.040668+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.040801+00:00 [info] <0.254.0> Successfully synced tables from a peer
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.040951+00:00 [info] <0.254.0> Running boot step tracking_metadata_store defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041044+00:00 [info] <0.562.0> Setting up a table for connection tracking on this node: tracked_connection
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041088+00:00 [info] <0.562.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041137+00:00 [info] <0.562.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041182+00:00 [info] <0.562.0> Setting up a table for channel tracking on this node: tracked_channel
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041228+00:00 [info] <0.562.0> Setting up a table for channel tracking on this node: tracked_channel_per_user
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041265+00:00 [info] <0.254.0> Running boot step networking_metadata_store defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041311+00:00 [info] <0.254.0> Running boot step feature_flags defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041393+00:00 [info] <0.254.0> Running boot step codec_correctness_check defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041509+00:00 [info] <0.254.0> Running boot step external_infrastructure defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041526+00:00 [info] <0.254.0> Running boot step rabbit_event defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.041 | 2025-10-29 12:58:32.041664+00:00 [info] <0.254.0> Running boot step rabbit_delayed_message defined by app rabbitmq_delayed_message_exchange
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048364+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 0 retries left
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048506+00:00 [info] <0.254.0> Successfully synced tables from a peer
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048551+00:00 [info] <0.254.0> Running boot step rabbit_registry defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048643+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048705+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048761+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048809+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_direct defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.048 | 2025-10-29 12:58:32.048855+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.048902+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_headers defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.048939+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_topic defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.048985+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_all defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049031+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_exactly defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049067+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_nodes defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049111+00:00 [info] <0.254.0> Running boot step rabbit_priority_queue defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049136+00:00 [info] <0.254.0> Priority queues enabled, real BQ is rabbit_variable_queue
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049180+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_client_local defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049235+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_min_masters defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049286+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_random defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049321+00:00 [info] <0.254.0> Running boot step kernel_ready defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049340+00:00 [info] <0.254.0> Running boot step rabbit_sysmon_minder defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.049 | 2025-10-29 12:58:32.049525+00:00 [info] <0.254.0> Running boot step rabbit_epmd_monitor defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.050 | 2025-10-29 12:58:32.050183+00:00 [info] <0.583.0> epmd monitor knows us, inter-node communication (distribution) port: 25672
rabbitmq | 2025-10-29 18:43:32.050 | 2025-10-29 12:58:32.050338+00:00 [info] <0.254.0> Running boot step guid_generator defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.051913+00:00 [info] <0.254.0> Running boot step rabbit_node_monitor defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052134+00:00 [info] <0.587.0> Starting rabbit_node_monitor (in ignore mode)
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052226+00:00 [info] <0.254.0> Running boot step delegate_sup defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052595+00:00 [info] <0.254.0> Running boot step rabbit_memory_monitor defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052722+00:00 [info] <0.254.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052845+00:00 [info] <0.254.0> Running boot step core_initialized defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.052 | 2025-10-29 12:58:32.052879+00:00 [info] <0.254.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.053 | 2025-10-29 12:58:32.052925+00:00 [info] <0.254.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.053 | 2025-10-29 12:58:32.052988+00:00 [info] <0.254.0> Running boot step rabbit_definitions_hashing defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.053 | 2025-10-29 12:58:32.053057+00:00 [info] <0.254.0> Running boot step rabbit_exchange_parameters defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.073782+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_misc defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.074177+00:00 [info] <0.254.0> Running boot step rabbit_policies defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.074473+00:00 [info] <0.254.0> Running boot step rabbit_policy defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.074541+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_validator defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.074581+00:00 [info] <0.254.0> Running boot step rabbit_quorum_memory_manager defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.074 | 2025-10-29 12:58:32.074632+00:00 [info] <0.254.0> Running boot step rabbit_quorum_queue defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.074779+00:00 [info] <0.254.0> Running boot step rabbit_stream_coordinator defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.074919+00:00 [info] <0.254.0> Running boot step rabbit_vhost_limit defined by app rabbit
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.074981+00:00 [info] <0.254.0> Running boot step rabbit_delayed_message_supervisor defined by app rabbitmq_delayed_message_exchange
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.075262+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_delayed_message defined by app rabbitmq_delayed_message_exchange
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.075331+00:00 [info] <0.254.0> Running boot step rabbit_federation_parameters defined by app rabbitmq_federation
rabbitmq | 2025-10-29 18:43:32.075 | 2025-10-29 12:58:32.075479+00:00 [info] <0.254.0> Running boot step rabbit_federation_supervisor defined by app rabbitmq_federation
rabbitmq | 2025-10-29 18:43:32.082 | 2025-10-29 12:58:32.082415+00:00 [info] <0.254.0> Running boot step rabbit_federation_queue defined by app rabbitmq_federation
rabbitmq | 2025-10-29 18:43:32.082 | 2025-10-29 12:58:32.082584+00:00 [info] <0.254.0> Running boot step rabbit_federation_upstream_exchange defined by app rabbitmq_federation
rabbitmq | 2025-10-29 18:43:32.082 | 2025-10-29 12:58:32.082658+00:00 [info] <0.254.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management
